forecast_date,target,target_end_date,location,type,quantile,value
2021-11-01,1 day ahead inc hosp,2021-11-02,48,quantile,0.01,214.95917618503302
2021-11-01,2 day ahead inc hosp,2021-11-03,48,quantile,0.01,210.71979871284051
2021-11-01,3 day ahead inc hosp,2021-11-04,48,quantile,0.01,213.23044834616996
2021-11-01,4 day ahead inc hosp,2021-11-05,48,quantile,0.01,213.4454455900488
2021-11-01,5 day ahead inc hosp,2021-11-06,48,quantile,0.01,115.49908756061379
2021-11-01,6 day ahead inc hosp,2021-11-07,48,quantile,0.01,209.85321891272417
2021-11-01,7 day ahead inc hosp,2021-11-08,48,quantile,0.01,168.20466191033273
2021-11-01,1 day ahead inc hosp,2021-11-02,36,quantile,0.01,136.7923951400495
2021-11-01,2 day ahead inc hosp,2021-11-03,36,quantile,0.01,141.13361579365557
2021-11-01,3 day ahead inc hosp,2021-11-04,36,quantile,0.01,137.62802009658816
2021-11-01,4 day ahead inc hosp,2021-11-05,36,quantile,0.01,139.13132040563445
2021-11-01,5 day ahead inc hosp,2021-11-06,36,quantile,0.01,86.57943002634059
2021-11-01,6 day ahead inc hosp,2021-11-07,36,quantile,0.01,136.15806963122614
2021-11-01,7 day ahead inc hosp,2021-11-08,36,quantile,0.01,106.09994424278322
2021-11-01,1 day ahead inc hosp,2021-11-02,53,quantile,0.01,64.83465173512909
2021-11-01,2 day ahead inc hosp,2021-11-03,53,quantile,0.01,64.5121340178602
2021-11-01,3 day ahead inc hosp,2021-11-04,53,quantile,0.01,64.83685139513626
2021-11-01,4 day ahead inc hosp,2021-11-05,53,quantile,0.01,64.05472363690778
2021-11-01,5 day ahead inc hosp,2021-11-06,53,quantile,0.01,37.14244822663565
2021-11-01,6 day ahead inc hosp,2021-11-07,53,quantile,0.01,62.78373630465127
2021-11-01,7 day ahead inc hosp,2021-11-08,53,quantile,0.01,50.081175365353204
2021-11-01,1 day ahead inc hosp,2021-11-02,06,quantile,0.01,269.86851636975746
2021-11-01,2 day ahead inc hosp,2021-11-03,06,quantile,0.01,261.4870239758864
2021-11-01,3 day ahead inc hosp,2021-11-04,06,quantile,0.01,266.602674566934
2021-11-01,4 day ahead inc hosp,2021-11-05,06,quantile,0.01,270.0637872586567
2021-11-01,5 day ahead inc hosp,2021-11-06,06,quantile,0.01,137.92809274458688
2021-11-01,6 day ahead inc hosp,2021-11-07,06,quantile,0.01,263.4234602908037
2021-11-01,7 day ahead inc hosp,2021-11-08,06,quantile,0.01,212.3805433287719
2021-11-01,1 day ahead inc hosp,2021-11-02,12,quantile,0.01,139.23848859160915
2021-11-01,2 day ahead inc hosp,2021-11-03,12,quantile,0.01,133.3080833295513
2021-11-01,3 day ahead inc hosp,2021-11-04,12,quantile,0.01,137.65354411583138
2021-11-01,4 day ahead inc hosp,2021-11-05,12,quantile,0.01,136.04627174944045
2021-11-01,5 day ahead inc hosp,2021-11-06,12,quantile,0.01,69.80924121461207
2021-11-01,6 day ahead inc hosp,2021-11-07,12,quantile,0.01,134.41474088535335
2021-11-01,7 day ahead inc hosp,2021-11-08,12,quantile,0.01,109.5376095281739
2021-11-01,1 day ahead inc hosp,2021-11-02,39,quantile,0.01,155.35633318571493
2021-11-01,2 day ahead inc hosp,2021-11-03,39,quantile,0.01,169.72033432994314
2021-11-01,3 day ahead inc hosp,2021-11-04,39,quantile,0.01,157.83194117891148
2021-11-01,4 day ahead inc hosp,2021-11-05,39,quantile,0.01,168.64174501321853
2021-11-01,5 day ahead inc hosp,2021-11-06,39,quantile,0.01,111.992298473413
2021-11-01,6 day ahead inc hosp,2021-11-07,39,quantile,0.01,163.42371634517775
2021-11-01,7 day ahead inc hosp,2021-11-08,39,quantile,0.01,123.19928505500917
2021-11-01,1 day ahead inc hosp,2021-11-02,47,quantile,0.01,51.451952346820086
