,date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
18312,2020-08-23,17,Illinois,102,110.42857142857143,1893,2026.0,1.3286282668416025,0.18738631346094584
18313,2020-08-24,17,Illinois,126,111.0,1612,2003.0,1.317155894671198,0.18249346867914448
18314,2020-08-25,17,Illinois,137,113.0,1681,1994.7142857142858,1.3328685809066778,0.19726851737710435
18315,2020-08-26,17,Illinois,127,115.28571428571429,2156,1974.7142857142858,1.341191507300575,0.19569529134358155
18316,2020-08-27,17,Illinois,129,117.71428571428571,1707,1956.857142857143,1.360167739828037,0.20622991930323054
18317,2020-08-28,17,Illinois,118,118.42857142857143,2436,1977.2857142857142,1.3709921403859902,0.2153115653570466
18318,2020-08-29,17,Illinois,121,122.85714285714286,1880,1909.2857142857142,1.3878930882921183,0.21587461084795473
18319,2020-08-30,17,Illinois,115,124.71428571428571,1992,1923.4285714285713,1.432442820165847,0.21468030176943081
18320,2020-08-31,17,Illinois,130,125.28571428571429,1666,1931.142857142857,1.4179582403244535,0.21450673209926532
18321,2020-09-01,17,Illinois,112,121.71428571428571,1492,1904.142857142857,1.4032266503103583,0.21199048488331504
18322,2020-09-02,17,Illinois,133,122.57142857142857,2128,1900.142857142857,1.3988054142254023,0.20362878938678208
18323,2020-09-03,17,Illinois,120,121.28571428571429,1360,1850.5714285714287,1.3965552161877277,0.2053095160802386
18324,2020-09-04,17,Illinois,121,121.71428571428571,5594,2301.714285714286,1.3890823767597902,0.19560566632967955
18325,2020-09-05,17,Illinois,102,119.0,2804,2433.714285714286,1.375084935726005,0.19562513448832436
18326,2020-09-06,17,Illinois,106,117.71428571428571,1413,2351.0,1.3618833795544367,0.1938776517979507
18327,2020-09-07,17,Illinois,103,113.85714285714286,1369,2308.5714285714284,1.3117524893347488,0.195371233016254
18328,2020-09-08,17,Illinois,108,113.28571428571429,1392,2294.285714285714,1.2388385868271632,0.20058891393375047
18329,2020-09-09,17,Illinois,129,112.71428571428571,1337,2181.285714285714,1.2176467114458496,0.21611268245391507
18330,2020-09-10,17,Illinois,111,111.42857142857143,1953,2266.0,1.1898723743848958,0.22073350267804415
18331,2020-09-11,17,Illinois,112,110.14285714285714,2313,1797.2857142857142,1.2048812383976195,0.2207470090255402
18332,2020-09-12,17,Illinois,95,109.14285714285714,2120,1699.5714285714287,1.2006844049639396,0.22159892715273355
18333,2020-09-13,17,Illinois,92,107.14285714285714,1460,1706.2857142857142,1.2096289981818165,0.22174750385233682
18334,2020-09-14,17,Illinois,95,106.0,1372,1706.7142857142858,1.2713087927333795,0.2245465651060994
18335,2020-09-15,17,Illinois,91,103.57142857142857,1464,1717.0,1.337990772812778,0.20508075224773056
18336,2020-09-16,17,Illinois,205,114.42857142857143,1943,1803.5714285714287,1.3601296272568206,0.1845734090056502
18337,2020-09-17,17,Illinois,132,117.42857142857143,2056,1818.2857142857142,1.387520563835659,0.16362839176748759
18338,2020-09-18,17,Illinois,107,116.71428571428571,2223,1805.4285714285713,1.441701746760447,0.16131806875000484
18339,2020-09-19,17,Illinois,81,114.71428571428571,2524,1863.142857142857,1.4635635088406969,0.15831922728189962
18340,2020-09-20,17,Illinois,88,114.14285714285714,1402,1854.857142857143,1.486476892684368,0.16497091298239897
18341,2020-09-21,17,Illinois,123,118.14285714285714,1477,1869.857142857143,1.4976395647666019,0.14904778928358703
18342,2020-09-22,17,Illinois,126,123.14285714285714,1533,1879.7142857142858,1.5321413535491961,0.15873280721182043
18343,2020-09-23,17,Illinois,108,109.28571428571429,1850,1866.4285714285713,1.5595977364770612,0.1623648549876346
18344,2020-09-24,17,Illinois,137,110.0,2256,1895.0,1.5906672271887905,0.16382738800663346
18345,2020-09-25,17,Illinois,144,115.28571428571429,2773,1973.5714285714287,1.572860815260162,0.16640527571807837
18346,2020-09-26,17,Illinois,101,118.14285714285714,2441,1961.7142857142858,1.6098561854865192,0.16783598430317243
18347,2020-09-27,17,Illinois,115,122.0,1600,1990.0,1.615031850764752,0.16096178331680377
18348,2020-09-28,17,Illinois,109,120.0,1709,2023.142857142857,1.6221994705427472,0.16421601483105683
18349,2020-09-29,17,Illinois,121,119.28571428571429,1366,1999.2857142857142,1.650688102839954,0.15757318327782913
18350,2020-09-30,17,Illinois,137,123.42857142857143,2272,2059.5714285714284,1.676929452864458,0.1582383263895586
18351,2020-10-01,17,Illinois,131,122.57142857142857,2164,2046.4285714285713,1.685704750657181,0.16070557857736345
18352,2020-10-02,17,Illinois,145,122.71428571428571,2456,2001.142857142857,1.7381137300209342,0.16362538923072595
18353,2020-10-03,17,Illinois,133,127.28571428571429,2442,2001.2857142857142,1.757224801518283,0.1643272225902351
18354,2020-10-04,17,Illinois,119,127.85714285714286,1453,1980.2857142857142,1.7659581551443595,0.19571354706994165
18355,2020-10-05,17,Illinois,183,138.42857142857142,1853,2000.857142857143,1.7962219859532516,0.225581149285336
18356,2020-10-06,17,Illinois,173,145.85714285714286,1617,2036.7142857142858,1.843493679524276,0.23100747236508562
18357,2020-10-07,17,Illinois,173,151.0,2630,2087.8571428571427,1.9915864972788286,0.23462701301470612
18358,2020-10-08,17,Illinois,178,157.71428571428572,3094,2220.714285714286,2.051641057630508,0.23749885638988955
18359,2020-10-09,17,Illinois,168,161.0,3117,2315.1428571428573,2.057631289118254,0.23927406405991553
18360,2020-10-10,17,Illinois,157,164.42857142857142,2905,2381.285714285714,2.1262681908344288,0.24345721391875602
18361,2020-10-11,17,Illinois,150,168.85714285714286,2727,2563.285714285714,2.196242452787599,0.21859018780098352
18362,2020-10-12,17,Illinois,193,170.28571428571428,2740,2690.0,2.2408639096941143,0.19439854488946445
18363,2020-10-13,17,Illinois,218,176.71428571428572,2853,2866.5714285714284,2.2409732753011764,0.19461263874548013
18364,2020-10-14,17,Illinois,216,182.85714285714286,2866,2900.285714285714,2.1991571896926034,0.19849737190538722
18365,2020-10-15,17,Illinois,428,218.57142857142858,4014,3031.714285714286,2.2581768510934666,0.20136246857295662
18366,2020-10-16,17,Illinois,424,255.14285714285714,5106,3315.8571428571427,2.373890898617283,0.20409723863744694
18367,2020-10-17,17,Illinois,441,295.7142857142857,3629,3419.285714285714,2.4070141859731864,0.20718518704271
18368,2020-10-18,17,Illinois,291,315.85714285714283,4245,3636.1428571428573,2.4350605752910877,0.21098259467308914
18369,2020-10-19,17,Illinois,268,326.57142857142856,3113,3689.4285714285716,2.5311750513020286,0.21543835858496083
18370,2020-10-20,17,Illinois,284,336.0,3713,3812.285714285714,2.63536142089377,0.22050142436717887
18371,2020-10-21,17,Illinois,261,342.42857142857144,4342,4023.1428571428573,2.6873144249713334,0.2248221078001289
18372,2020-10-22,17,Illinois,288,322.42857142857144,4941,4155.571428571428,2.7711366411264224,0.23218835538500426
