date,location,location_name,hospitalizations,smoothed_hosp,cases,smoothed_cases,spc,sph
2021-01-02,19,Iowa,64,83.14285714285714,915,1209.7142857142858,6.097550034940072,0.40012333127186095
2021-01-03,19,Iowa,74,83.35714285714286,820,1241.857142857143,6.142182902077858,0.4018830642328905
2021-01-04,19,Iowa,121,84.0,1641,1258.5714285714287,6.213583024328511,0.40224943913527006
2021-01-05,19,Iowa,97,83.71428571428571,1942,1286.0,6.296538273013403,0.40380394578700735
2021-01-06,19,Iowa,87,82.57142857142857,2478,1333.142857142857,6.412514874385437,0.40613229734632855
2021-01-07,19,Iowa,77,83.07142857142857,2413,1394.857142857143,6.544888348991979,0.4097694609612057
2021-01-08,19,Iowa,73,83.28571428571429,1573,1464.0,7.104772102746047,0.41799986329614613
2021-01-09,19,Iowa,73,83.14285714285714,1409,1527.0,7.1752080791666915,0.4167276496795641
2021-01-10,19,Iowa,61,81.35714285714286,511,1527.357142857143,7.388581147765216,0.4149553428209629
2021-01-11,19,Iowa,82,80.21428571428571,1092,1508.9285714285713,7.391263361074577,0.41367509612452746
2021-01-12,19,Iowa,86,80.92857142857143,1481,1496.0714285714287,7.356639163616281,0.41110791649615386
2021-01-13,19,Iowa,88,81.42857142857143,1906,1506.9285714285713,7.504547168659622,0.4103604007563554
2021-01-14,19,Iowa,81,80.85714285714286,1399,1489.142857142857,7.319950076287445,0.41066058088147034
2021-01-15,19,Iowa,61,80.35714285714286,1366,1496.142857142857,7.5825612687756045,0.41176588243214884
2021-01-16,19,Iowa,55,79.71428571428571,822,1489.5,7.343030616879569,0.4055993958215936
2021-01-17,19,Iowa,55,78.35714285714286,403,1459.7142857142858,7.252174444556743,0.40015725787824225
2021-01-18,19,Iowa,85,75.78571428571429,932,1409.0714285714287,7.081955483568044,0.39298766934771573
2021-01-19,19,Iowa,76,74.28571428571429,1219,1357.4285714285713,6.85834056247749,0.38603937965178153
2021-01-20,19,Iowa,66,72.78571428571429,1485,1286.5,6.630700705310613,0.37741085868405877
2021-01-21,19,Iowa,65,71.92857142857143,1653,1232.2142857142858,6.426344888220646,0.3726110785888677
2021-01-22,19,Iowa,49,70.21428571428571,1255,1209.5,6.155328251553173,0.36405965431986326
2021-01-23,19,Iowa,38,67.71428571428571,927,1175.0714285714287,5.975516073635649,0.35594786228880393
2021-01-24,19,Iowa,48,66.78571428571429,515,1175.357142857143,5.7961801765523315,0.3490497211040826
2021-01-25,19,Iowa,75,66.28571428571429,772,1152.5,5.667261822227928,0.343313165104112
2021-01-26,19,Iowa,50,63.714285714285715,1093,1124.7857142857142,5.532124387327599,0.3369037405707687
2021-01-27,19,Iowa,58,61.57142857142857,1112,1068.0714285714287,5.236187555457546,0.3297081293662365
2021-01-28,19,Iowa,48,59.214285714285715,1010,1040.2857142857142,5.094644144226378,0.31960633653426146
2021-01-29,19,Iowa,54,58.714285714285715,1195,1028.0714285714287,4.941790380893529,0.31192239563293844
2021-01-30,19,Iowa,42,57.785714285714285,791,1025.857142857143,4.802210097200653,0.3061866345413486
2021-01-31,19,Iowa,48,57.285714285714285,298,1018.3571428571429,4.6728600114074075,0.3006255167109109
2021-02-01,19,Iowa,57,55.285714285714285,779,1007.4285714285714,4.597975720825719,0.2950936394045447
2021-02-02,19,Iowa,53,53.642857142857146,1087,998.0,4.5186197830245325,0.28810319535346757
