key,level
EGY15,gadm1
EGY16,gadm1
EGY17,gadm1
EGY18,gadm1
EGY19,gadm1
EGY20,gadm1
EGY21,gadm1
EGY22,gadm1
EGY23,gadm1
EGY24,gadm1
EGY25,gadm1
EGY26,gadm1
EGY27,gadm1
SLV1,gadm1
SLV2,gadm1
SLV3,gadm1
SLV4,gadm1
SLV5,gadm1
SLV6,gadm1
SLV7,gadm1
SLV8,gadm1
SLV9,gadm1
SLV10,gadm1
SLV11,gadm1
SLV12,gadm1
SLV13,gadm1
SLV14,gadm1
GNQ2,gadm1
GNQ3,gadm1
GNQ4,gadm1
GNQ5,gadm1
GNQ6,gadm1
GNQ7,gadm1
ERI1,gadm1
ERI2,gadm1
ERI3,gadm1
ERI4,gadm1
ERI5,gadm1
ERI6,gadm1
ETH1,gadm1
ETH2,gadm1
ETH3,gadm1
ETH4,gadm1
ETH5,gadm1
ETH6,gadm1
ETH7,gadm1
ETH8,gadm1
ETH9,gadm1
ETH10,gadm1
ETH11,gadm1
GAB1,gadm1
GAB2,gadm1
GAB3,gadm1
GAB4,gadm1
GAB5,gadm1
GAB6,gadm1
GAB7,gadm1
GAB8,gadm1
GAB9,gadm1
GMB1,gadm1
GMB2,gadm1
GMB3,gadm1
GMB4,gadm1
GMB5,gadm1
GMB6,gadm1
GEO1,gadm1
GEO2,gadm1
GEO3,gadm1
GEO4,gadm1
GEO5,gadm1
GEO6,gadm1
GEO7,gadm1
GEO8,gadm1
GEO9,gadm1
GEO10,gadm1
GEO11,gadm1
GEO12,gadm1
GHA1,gadm1
GHA2,gadm1
GHA3,gadm1
GHA4,gadm1
GHA5,gadm1
GHA6,gadm1
GHA7,gadm1
GHA8,gadm1
GHA9,gadm1
GHA10,gadm1
GTM1,gadm1
GTM2,gadm1
GTM3,gadm1
GTM4,gadm1
GTM5,gadm1
GTM6,gadm1
GTM7,gadm1
GTM8,gadm1
GTM9,gadm1
GTM10,gadm1
GTM11,gadm1
GTM12,gadm1
GTM13,gadm1
GTM14,gadm1
GTM15,gadm1
GTM16,gadm1
GTM17,gadm1
GTM18,gadm1
GTM19,gadm1
GTM20,gadm1
GTM21,gadm1
GTM22,gadm1
GNB1,gadm1
GNB2,gadm1
GNB3,gadm1
GNB4,gadm1
GNB5,gadm1
GNB6,gadm1
GNB7,gadm1
GNB8,gadm1
GNB9,gadm1
GIN1,gadm1
GIN2,gadm1
GIN3,gadm1
GIN4,gadm1
GIN5,gadm1
GIN6,gadm1
GIN7,gadm1
GIN8,gadm1
HTI1,gadm1
HTI2,gadm1
HTI3,gadm1
HTI4,gadm1
HTI5,gadm1
